"pptid","Condition","Match","Bet.Category","Subcategory","Bet.Description","Stake","Potential.Payout"
"F.0080","Treatment","","","Endowment","Unspent",3,3
"F.0293","Control","","","Endowment","Unspent",2,2
"F.0279","Control","","","Endowment","Unspent",0,0
"F.0186","Treatment","","","Endowment","Unspent",0,0
"F.0739","Control","","","Endowment","Unspent",0,0
"F.0222","Control","","","Endowment","Unspent",2,2
"F.0621","Treatment","","","Endowment","Unspent",2,2
"F.0974","Control","","","Endowment","Unspent",3,3
"F.1081","Control","","","Endowment","Unspent",1,1
"F.0650","Control","","","Endowment","Unspent",2.5,2.5
"F.0746","Treatment","","","Endowment","Unspent",0,0
"F.0509","Treatment","","","Endowment","Unspent",0,0
"F.0711","Control","","","Endowment","Unspent",0,0
"F.0283","Treatment","","","Endowment","Unspent",3,3
"F.1042","Control","","","Endowment","Unspent",3,3
"F.0340","Control","","","Endowment","Unspent",0,0
"F.1098","Treatment","","","Endowment","Unspent",0,0
"F.0545","Treatment","","","Endowment","Unspent",0,0
"F.0500","Treatment","","","Endowment","Unspent",0,0
"F.1275","Treatment","","","Endowment","Unspent",0,0
"F.1221","Control","","","Endowment","Unspent",0,0
"F.0944","Treatment","","","Endowment","Unspent",0,0
"F.0591","Control","","","Endowment","Unspent",3,3
"F.0181","Control","","","Endowment","Unspent",0,0
"F.0774","Control","","","Endowment","Unspent",3,3
"F.0832","Control","","","Endowment","Unspent",1.5,1.5
"F.1093","Treatment","","","Endowment","Unspent",1,1
"F.1181","Treatment","","","Endowment","Unspent",0,0
"F.0548","Control","","","Endowment","Unspent",1,1
"F.0315","Treatment","","","Endowment","Unspent",0,0
"F.0670","Treatment","","","Endowment","Unspent",0,0
"F.0753","Control","","","Endowment","Unspent",3,3
"F.1136","Control","","","Endowment","Unspent",0,0
"F.0312","Treatment","","","Endowment","Unspent",0,0
"F.0899","Treatment","","","Endowment","Unspent",0,0
"F.0295","Control","","","Endowment","Unspent",3,3
"F.0610","Treatment","","","Endowment","Unspent",0,0
"F.0582","Control","","","Endowment","Unspent",2,2
"F.0828","Control","","","Endowment","Unspent",0,0
"F.0891","Treatment","","","Endowment","Unspent",0,0
"F.0418","Treatment","","","Endowment","Unspent",3,3
"F.0760","Treatment","","","Endowment","Unspent",3,3
"F.0460","Control","","","Endowment","Unspent",0,0
"F.0926","Treatment","","","Endowment","Unspent",0,0
"F.0745","Treatment","","","Endowment","Unspent",3,3
"F.0384","Control","","","Endowment","Unspent",0,0
"F.0153","Control","","","Endowment","Unspent",0,0
"F.0351","Control","","","Endowment","Unspent",3,3
